//single phase coef Number:=42,    upsample factor:=160,     downsample factor:=147
    -5,   87,  259,  -85,   25,   27,
  -89,  171, -274,  398, -541,  699,
 -866, 1036,-1202, 1357,-1493, 1601,
-1671, 1674,30583, 1872,-1764, 1657,
-1529, 1380,-1217, 1044, -869,  699,
 -539,  395, -270,  167,  -85,   24,
   27,  -88,  258,   88,   -5,   -2,
   -5,   85,  259,  -83,   22,   30,
  -93,  175, -278,  402, -543,  699,
 -862, 1028,-1188, 1334,-1456, 1545,
-1578, 1477,30580, 2072,-1858, 1712,
-1564, 1403,-1230, 1052, -872,  699,
 -537,  392, -266,  163,  -82,   20,
   30,  -90,  258,   89,   -5,    0,
   -5,   84,  259,  -81,   19,   33,
  -96,  178, -281,  404, -545,  698,
 -859, 1019,-1173, 1310,-1420, 1488,
-1484, 1283,30573, 2274,-1951, 1768,
-1599, 1425,-1244, 1059, -875,  699,
 -535,  388, -262,  159,  -78,   17,
   33,  -92,  257,   91,   -5,    0,
   -5,   83,  259,  -78,   16,   37,
 -100,  182, -285,  407, -546,  697,
 -854, 1011,-1158, 1286,-1383, 1431,
-1391, 1090,30562, 2478,-2044, 1823,
-1634, 1447,-1257, 1066, -877,  698,
 -532,  385, -258,  155,  -74,   14,
   36,  -95,  257,   92,   -5,    0,
   -5,   81,  260,  -76,   13,   40,
 -103,  186, -288,  410, -548,  696,
 -850, 1002,-1142, 1261,-1345, 1374,
-1298,  900,30548, 2684,-2137, 1877,
-1668, 1469,-1270, 1072, -879,  697,
 -529,  381, -254,  151,  -70,   10,
   39,  -97,  257,   93,   -5,    0,
   -5,   80,  260,  -73,   10,   43,
 -107,  189, -292,  413, -549,  695,
 -845,  992,-1126, 1236,-1308, 1317,
-1205,  711,30530, 2891,-2230, 1932,
-1702, 1490,-1282, 1078, -881,  696,
 -526,  377, -250,  146,  -66,    7,
   42,  -99,  256,   95,   -4,    0,
   -5,   79,  260,  -71,    7,   46,
 -110,  193, -295,  415, -549,  694,
 -840,  982,-1110, 1211,-1270, 1259,
-1113,  525,30509, 3100,-2323, 1985,
-1736, 1510,-1294, 1084, -883,  695,
 -523,  373, -245,  142,  -63,    3,
   44, -101,  256,   96,   -4,    0,
   -5,   78,  260,  -68,    4,   49,
 -114,  196, -298,  417, -550,  692,
 -835,  972,-1093, 1185,-1231, 1202,
-1020,  340,30485, 3311,-2416, 2039,
-1768, 1530,-1305, 1089, -884,  693,
 -520,  368, -241,  138,  -59,    0,
   47, -103,  255,   97,   -4,    0,
   -5,   76,  260,  -66,    1,   53,
 -117,  200, -301,  419, -551,  690,
 -830,  962,-1076, 1159,-1193, 1144,
 -928,  158,30457, 3524,-2508, 2092,
-1801, 1550,-1316, 1094, -885,  691,
 -516,  364, -236,  133,  -55,   -3,
   50, -105,  254,   99,   -4,    0,
   -5,   75,  260,  -63,   -1,   56,
 -120,  203, -304,  421, -551,  688,
 -824,  951,-1059, 1133,-1154, 1086,
 -836,  -22,30425, 3738,-2600, 2144,
-1833, 1569,-1327, 1099, -886,  689,
 -513,  360, -231,  129,  -51,   -7,
   53, -107,  254,  100,   -4,    0,
   -5,   74,  260,  -61,   -4,   59,
 -124,  206, -307,  423, -551,  685,
 -818,  940,-1041, 1106,-1115, 1028,
 -745, -200,30390, 3954,-2692, 2196,
-1864, 1588,-1337, 1103, -886,  687,
 -509,  355, -226,  124,  -47,  -10,
   56, -109,  253,  102,   -4,    0,
   -5,   73,  260,  -58,   -7,   62,
 -127,  209, -309,  425, -551,  683,
 -812,  929,-1023, 1079,-1075,  970,
 -653, -376,30351, 4171,-2784, 2248,
-1895, 1606,-1347, 1107, -886,  684,
 -505,  350, -222,  120,  -43,  -14,
   58, -112,  253,  103,   -4,    0,
   -5,   72,  260,  -55,  -10,   65,
 -130,  212, -312,  426, -551,  680,
 -805,  917,-1005, 1052,-1036,  912,
 -562, -550,30309, 4390,-2875, 2298,
-1925, 1624,-1356, 1111, -886,  681,
 -501,  345, -217,  115,  -38,  -17,
   61, -113,  252,  104,   -4,    0,
   -5,   70,  260,  -53,  -13,   68,
 -133,  215, -314,  428, -550,  677,
 -798,  905, -986, 1025, -996,  854,
 -472, -721,30264, 4610,-2966, 2349,
-1955, 1641,-1365, 1114, -885,  678,
 -496,  340, -212,  110,  -34,  -20,
   64, -115,  251,  106,   -4,    0,
   -5,   69,  260,  -50,  -16,   71,
 -136,  218, -317,  429, -550,  673,
 -791,  893, -967,  997, -956,  795,
 -382, -890,30215, 4832,-3057, 2399,
-1984, 1658,-1374, 1117, -884,  675,
 -492,  335, -206,  105,  -30,  -24,
   67, -117,  250,  107,   -4,    0,
   -5,   68,  260,  -48,  -19,   74,
 -139,  221, -319,  430, -549,  670,
 -784,  881, -948,  969, -916,  737,
 -292,-1057,30162, 5055,-3147, 2448,
-2013, 1674,-1382, 1120, -883,  672,
 -487,  330, -201,  101,  -26,  -27,
   69, -119,  250,  109,   -4,    0,
   -5,   67,  260,  -45,  -21,   77,
 -142,  224, -321,  431, -548,  666,
 -776,  868, -929,  941, -876,  679,
 -203,-1222,30106, 5280,-3236, 2496,
-2041, 1690,-1389, 1122, -881,  668,
 -482,  324, -196,   96,  -22,  -31,
   72, -121,  249,  110,   -4,    0,
   -5,   66,  260,  -42,  -24,   80,
 -145,  226, -323,  432, -547,  662,
 -769,  855, -909,  912, -835,  621,
 -114,-1384,30047, 5506,-3325, 2544,
-2069, 1705,-1396, 1123, -880,  664,
 -477,  319, -190,   91,  -18,  -34,
   75, -123,  248,  112,   -4,    0,
   -5,   64,  259,  -39,  -27,   83,
 -148,  229, -325,  432, -546,  658,
 -760,  842, -890,  884, -795,  562,
  -26,-1544,29984, 5733,-3414, 2592,
-2095, 1720,-1403, 1125, -878,  660,
 -471,  313, -185,   86,  -14,  -38,
   77, -125,  247,  113,   -4,    0,
   -5,   63,  259,  -37,  -30,   86,
 -151,  231, -327,  433, -544,  654,
 -752,  829, -870,  855, -754,  504,
   62,-1702,29918, 5962,-3502, 2638,
-2122, 1734,-1409, 1126, -875,  655,
 -466,  307, -179,   81,   -9,  -41,
   80, -126,  246,  114,   -3,    0,
   -5,   62,  259,  -34,  -33,   88,
 -153,  234, -328,  433, -542,  649,
 -744,  815, -849,  826, -713,  446,
  149,-1857,29849, 6191,-3589, 2684,
-2147, 1747,-1415, 1126, -872,  650,
 -460,  301, -174,   76,   -5,  -44,
   83, -128,  245,  116,   -3,    0,
   -5,   61,  259,  -31,  -35,   91,
 -156,  236, -330,  433, -540,  644,
 -735,  801, -829,  797, -672,  388,
  236,-2010,29776, 6422,-3676, 2729,
-2172, 1760,-1420, 1127, -869,  646,
 -454,  295, -168,   71,   -1,  -48,
   85, -130,  244,  117,   -3,    0,
   -5,   60,  258,  -28,  -38,   94,
 -159,  238, -331,  433, -538,  639,
 -726,  787, -808,  767, -631,  331,
  322,-2160,29700, 6654,-3762, 2774,
-2197, 1773,-1425, 1126, -866,  640,
 -448,  289, -162,   66,    3,  -51,
   88, -131,  243,  119,   -3,    0,
   -5,   59,  258,  -26,  -41,   97,
 -161,  240, -332,  433, -536,  634,
 -717,  773, -787,  737, -590,  273,
  407,-2309,29620, 6888,-3848, 2818,
-2220, 1784,-1429, 1126, -862,  635,
 -442,  283, -157,   61,    8,  -54,
   90, -133,  242,  120,   -3,   -1,
   -5,   58,  258,  -23,  -44,   99,
 -164,  242, -334,  433, -534,  629,
 -707,  758, -766,  708, -549,  215,
  492,-2454,29538, 7122,-3932, 2861,
-2243, 1796,-1433, 1125, -859,  629,
 -436,  277, -151,   56,   12,  -58,
   93, -134,  241,  122,   -3,   -1,
   -5,   57,  257,  -20,  -46,  102,
 -166,  244, -335,  432, -531,  623,
 -698,  743, -744,  678, -508,  158,
  576,-2598,29451, 7357,-4016, 2903,
-2265, 1806,-1437, 1124, -854,  624,
 -429,  270, -145,   50,   16,  -61,
   95, -136,  240,  123,   -3,   -1,
   -5,   56,  257,  -17,  -49,  104,
 -169,  246, -336,  432, -528,  617,
 -688,  728, -723,  648, -466,  101,
  659,-2738,29362, 7594,-4099, 2944,
-2287, 1816,-1439, 1122, -850,  617,
 -423,  263, -139,   45,   20,  -65,
   98, -137,  239,  125,   -3,   -1,
   -5,   55,  257,  -14,  -52,  107,
 -171,  248, -336,  431, -526,  611,
 -678,  713, -701,  618, -425,   44,
  742,-2877,29269, 7831,-4182, 2985,
-2308, 1826,-1442, 1120, -845,  611,
 -416,  257, -132,   40,   25,  -68,
  100, -139,  238,  126,   -2,   -1,
   -5,   54,  256,  -11,  -55,  109,
 -173,  250, -337,  430, -522,  605,
 -668,  698, -679,  587, -384,  -13,
  823,-3013,29173, 8069,-4263, 3024,
-2328, 1835,-1444, 1117, -840,  605,
 -409,  250, -126,   35,   29,  -71,
  103, -140,  236,  128,   -2,   -1,
   -5,   52,  256,   -9,  -57,  112,
 -175,  251, -338,  429, -519,  599,
 -657,  682, -657,  557, -343,  -69,
  904,-3146,29074, 8308,-4343, 3063,
-2348, 1843,-1445, 1114, -834,  598,
 -402,  243, -120,   29,   33,  -75,
  105, -142,  235,  129,   -2,   -1,
   -5,   51,  255,   -6,  -60,  114,
 -177,  253, -338,  428, -516,  592,
 -647,  666, -634,  526, -301, -125,
  985,-3277,28972, 8548,-4423, 3101,
-2366, 1851,-1446, 1111, -828,  591,
 -394,  236, -114,   24,   38,  -78,
  107, -143,  234,  131,   -2,   -1,
   -4,   50,  255,   -3,  -62,  117,
 -179,  254, -339,  427, -512,  585,
 -636,  650, -612,  496, -260, -181,
 1064,-3405,28866, 8789,-4502, 3139,
-2384, 1858,-1446, 1107, -822,  584,
 -387,  229, -107,   19,   42,  -81,
  110, -144,  232,  132,   -2,   -1,
   -4,   49,  254,    0,  -65,  119,
 -181,  256, -339,  426, -508,  578,
 -625,  634, -589,  465, -219, -237,
 1143,-3531,28757, 9030,-4579, 3175,
-2401, 1864,-1446, 1103, -816,  576,
 -379,  222, -101,   13,   46,  -84,
  112, -145,  231,  134,   -2,   -1,
   -4,   48,  253,    3,  -68,  121,
 -183,  257, -339,  424, -505,  571,
 -614,  618, -567,  434, -178, -292,
 1220,-3654,28646, 9272,-4656, 3210,
-2418, 1870,-1446, 1099, -809,  569,
 -371,  214,  -95,    8,   51,  -88,
  114, -147,  230,  135,   -2,   -1,
   -4,   47,  253,    6,  -70,  124,
 -185,  258, -339,  422, -500,  564,
 -602,  601, -544,  404, -137, -347,
 1297,-3775,28531, 9515,-4732, 3245,
-2434, 1875,-1445, 1094, -802,  561,
 -363,  207,  -88,    2,   55,  -91,
  116, -148,  228,  137,   -1,   -1,
   -4,   46,  252,    9,  -73,  126,
 -187,  259, -339,  421, -496,  557,
 -591,  585, -521,  373,  -97, -401,
 1373,-3893,28412, 9758,-4806, 3278,
-2448, 1880,-1443, 1089, -795,  553,
 -355,  200,  -82,   -3,   59,  -94,
  119, -149,  227,  138,   -1,   -1,
   -4,   45,  252,   12,  -75,  128,
 -189,  260, -339,  419, -492,  549,
 -579,  568, -498,  342,  -56, -455,
 1448,-4009,28291,10002,-4879, 3310,
-2463, 1884,-1441, 1083, -788,  544,
 -347,  192,  -75,   -8,   63,  -97,
  121, -150,  226,  140,   -1,   -1,
   -4,   45,  251,   15,  -78,  130,
 -190,  261, -339,  417, -487,  541,
 -567,  551, -475,  311,  -15, -509,
 1522,-4122,28167,10247,-4952, 3342,
-2476, 1887,-1439, 1077, -780,  536,
 -339,  184,  -68,  -14,   68, -100,
  123, -151,  224,  141,   -1,   -1,
   -4,   44,  250,   18,  -80,  132,
 -192,  262, -338,  414, -483,  533,
 -555,  534, -451,  280,   25, -562,
 1595,-4233,28040,10492,-5023, 3372,
-2488, 1890,-1435, 1071, -772,  527,
 -330,  177,  -62,  -19,   72, -103,
  125, -152,  223,  143,   -1,   -1,
   -4,   43,  249,   20,  -83,  134,
 -194,  263, -338,  412, -478,  525,
 -543,  517, -428,  250,   65, -615,
 1667,-4340,27910,10737,-5092, 3402,
-2500, 1892,-1432, 1064, -763,  518,
 -322,  169,  -55,  -25,   76, -107,
  127, -153,  221,  145,    0,   -1,
   -4,   42,  249,   23,  -85,  136,
 -195,  263, -337,  410, -473,  517,
 -530,  499, -405,  219,  106, -668,
 1738,-4446,27776,10983,-5161, 3430,
-2511, 1893,-1428, 1057, -755,  509,
 -313,  161,  -48,  -30,   80, -110,
  129, -154,  219,  146,    0,   -1,
   -4,   41,  248,   26,  -87,  138,
 -196,  264, -336,  407, -468,  509,
 -518,  482, -381,  188,  145, -720,
 1808,-4548,27640,11229,-5228, 3458,
-2521, 1894,-1423, 1049, -746,  500,
 -304,  153,  -41,  -36,   85, -113,
  131, -155,  218,  148,    0,   -1,
   -4,   40,  247,   29,  -90,  140,
 -198,  264, -336,  404, -462,  500,
 -505,  464, -357,  157,  185, -771,
 1877,-4649,27501,11476,-5294, 3484,
-2530, 1894,-1418, 1041, -736,  490,
 -295,  145,  -34,  -41,   89, -116,
  133, -155,  216,  149,    0,   -1,
   -4,   39,  246,   32,  -92,  142,
 -199,  265, -335,  401, -457,  491,
 -493,  446, -334,  126,  225, -822,
 1945,-4746,27359,11723,-5359, 3509,
-2539, 1894,-1412, 1033, -727,  481,
 -286,  137,  -28,  -47,   93, -119,
  135, -156,  214,  151,    0,   -1,
   -4,   38,  246,   35,  -94,  144,
 -200,  265, -334,  398, -451,  482,
 -480,  429, -310,   96,  264, -873,
 2012,-4841,27215,11970,-5422, 3533,
-2546, 1892,-1406, 1024, -717,  471,
 -277,  128,  -21,  -52,   97, -122,
  137, -157,  213,  152,    1,   -1,
   -4,   37,  245,   38,  -97,  146,
 -201,  265, -332,  395, -446,  473,
 -467,  411, -286,   65,  303, -923,
 2078,-4933,27067,12217,-5484, 3556,
-2553, 1891,-1400, 1015, -707,  461,
 -267,  120,  -14,  -58,  101, -125,
  139, -158,  211,  154,    1,   -1,
   -4,   36,  244,   41,  -99,  147,
 -202,  265, -331,  392, -440,  464,
 -454,  393, -263,   35,  342, -972,
 2143,-5023,26917,12464,-5544, 3578,
-2559, 1888,-1393, 1006, -697,  451,
 -258,  112,   -7,  -63,  105, -127,
  140, -158,  209,  155,    1,   -1,
   -4,   36,  243,   44, -101,  149,
 -203,  265, -330,  389, -434,  455,
 -440,  375, -239,    4,  381,-1021,
 2206,-5110,26763,12711,-5603, 3599,
